Address A,Port A,Address B,Port B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
10.61.81.49,51187,192.168.108.122,53,2,302,1,143,1,159,1232.704631859,0.400347320000037,2857.51881641144,3177.24120146447
10.61.81.49,57554,239.255.255.250,1900,4,856,4,856,0,0,1262.690167669,3.00289040400003,2280.46950727141,0
10.61.81.49,41735,192.168.108.122,53,2,302,1,143,1,159,1262.704588692,0.165779451999924,6900.73459767814,7672.84476245332
10.61.81.49,37937,192.168.108.122,53,2,188,1,86,1,102,1291.668616335,0.056804549999924,12111.7058404814,14365.0464619663
10.61.81.49,45028,192.168.108.122,53,2,188,1,86,1,102,1291.699763935,0.057630173999996,11938.1905735708,14159.2492849328
10.61.81.49,54128,172.217.166.238,443,16,4626,9,2824,7,1802,1291.726842753,0.609889824999982,37042.7560420452,23637.0560863192
10.61.81.49,40944,172.217.166.3,443,24,7185,12,4350,12,2835,1291.758814522,15.438425885,2254.11581849233,1469.06168860362
10.61.81.49,38195,192.168.108.122,53,2,186,1,85,1,101,1294.161401642,1.03538641399996,656.759631771667,780.384974222805
10.61.81.49,53217,192.168.108.121,53,2,186,1,85,1,101,1294.961449332,0.033597039999904,20239.8782750486,24049.7377150578
10.61.81.49,60307,216.58.200.164,443,82,57190,32,6082,50,51108,1294.999668887,9.65998046599998,5036.86318737946,42325.5514272591
10.61.81.49,37352,192.168.108.121,53,2,228,1,88,1,140,1295.390123815,0.035272831000157,19958.7041935158,31752.4839442296
10.61.81.49,56326,172.217.167.3,443,6,3075,3,1543,3,1532,1295.427473676,0.123965496999972,99576.0941449926,98866.2192029349
10.61.81.49,53383,192.168.108.121,53,2,220,1,90,1,130,1299.478330376,0.034089721999862,21120.7354522547,30507.7289865901
10.61.81.49,57088,216.58.200.174,443,9,4250,5,2520,4,1730,1299.514088165,0.118936546999976,169502.146384022,116364.568747761
10.61.81.49,39588,192.168.108.121,53,2,207,1,85,1,122,1300.448506775,0.036581240000032,18588.7629834145,26680.3421644302
10.61.81.49,56109,216.58.196.206,443,30,22527,12,3142,18,19385,1300.486594152,0.332211615999995,75662.6162042461,466810.889598762
10.61.81.49,53727,192.168.108.121,53,2,188,1,86,1,102,1300.828589617,0.05212227800007,13199.7300655025,15655.4937986192
10.61.81.49,49595,192.168.108.121,53,2,209,1,86,1,123,1300.828976478,0.051752864000037,13293.9502633036,19013.4404928645
10.61.81.49,34937,172.217.166.206,443,22,11926,9,2839,13,9087,1300.882168213,15.0780230409998,1506.29826856227,4821.32172117834
10.61.81.49,60963,172.217.167.227,443,6,3075,3,1543,3,1532,1300.883237463,0.148951118000014,82872.8254325615,82282.0275843709
10.61.81.49,34893,192.168.108.121,53,2,188,1,86,1,102,1302.450827809,0.064097317000005,10733.6786031145,12730.642064159
10.61.81.49,49525,172.217.167.14,443,19,6968,9,4069,10,2899,1302.521426617,16.2586232389999,2002.13754396601,1426.44304250614
10.61.81.49,34299,192.168.108.121,53,2,251,1,103,1,148,1303.653897928,0.113242340999932,7276.43028856579,10455.4532301722
10.61.81.49,45666,180.149.59.79,443,3338,4029611,448,44673,2890,3984938,1303.771515006,19.0085020429999,18801.2710939319,1677118.16154077
10.61.81.49,32936,192.168.108.121,53,2,212,1,98,1,114,1304.247058159,0.125540842999953,6244.97957210859,7264.56807367733
10.61.81.49,41898,192.168.108.121,53,2,180,1,82,1,98,1304.337788131,0.118045667999922,5557.17131441394,6641.49742454348
10.61.81.49,34845,172.217.160.234,443,12,4604,6,2477,6,2127,1304.374154144,15.0374614120001,1317.77561764425,1131.57397607159
10.61.81.49,46547,172.217.166.214,443,27,14232,13,3109,14,11123,1304.457137373,0.944777896999994,26325.7640541522,94185.0992519573
10.61.81.49,49475,192.168.108.121,53,2,190,1,87,1,103,1304.556687387,0.102964361999966,6759.62038205248,8002.76895806213
10.61.81.49,39178,172.217.161.3,443,18,6266,9,3000,9,3266,1304.661495781,0.675386546000027,35535.2059381992,38685.9941980529
10.61.81.49,42145,192.168.108.121,53,2,229,1,84,1,145,1305.174757778,0.224998335999999,2986.6887548893,5155.5936840351
10.61.81.49,60727,172.217.167.33,443,9,3814,4,1986,5,1828,1305.401707317,0.209910722999894,75689.320549899,69667.7129734217
10.61.81.49,41207,192.168.108.121,53,2,226,1,81,1,145,1335.43444184,0.052244450999979,12403.2311106162,22203.3149511031
fe80::112d:a32d:9c97:8a2,5353,ff02::fb,5353,2,214,2,214,0,0,221.197761107,512.002181385,3.34373575395504,0
